fp_id_bright,fp_id_dim,name_bright,name_dim,color_bright,color_dim,qy_bright,qy_dim,delta_qy,seq_identity,d_exp_to_planar_bright,d_exp_to_planar_dim,d_exp_to_planar_delta,d_exp_to_planar_concordant,b_factor_ratio_bright,b_factor_ratio_dim,b_factor_ratio_delta,b_factor_ratio_concordant,n_polar_O2_32_bright,n_polar_O2_32_dim,n_polar_O2_32_delta,n_polar_O2_32_concordant,f_allowed_P_folded_bright,f_allowed_P_folded_dim,f_allowed_P_folded_delta,f_allowed_P_folded_concordant,f_allowed_folded_bright,f_allowed_folded_dim,f_allowed_folded_delta,f_allowed_folded_concordant
fold6,acegfp,FOLD6,aceGFP,unknown,green,0.73,0.55,0.17999999999999994,0.8170212765957446,1.9354302350272203,14.385525143779343,-12.450094908752122,1,0.6889564715028728,0.7256404440108204,-0.03668397250794764,1,3.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,,0.0119598765432098,0.015432098765432,-0.003472222222222201,1.0
folding-reporter-gfp,acegfp,Folding Reporter GFP,aceGFP,green,green,0.72,0.55,0.16999999999999993,0.8723404255319149,7.495070459028669,14.385525143779343,-6.890454684750674,1,0.7385325706492639,0.7256404440108204,0.012892126638443524,0,2.0,2.0,0.0,,0.3888888888888889,0.3333333333333333,0.05555555555555558,0.0,0.0177469135802469,0.015432098765432,0.002314814814814898,0.0
gfpmut2,acegfp,,aceGFP,green,green,0.73,0.55,0.17999999999999994,0.8851063829787233,4.965202373941669,14.385525143779343,-9.420322769837675,1,0.7013983100813879,0.7256404440108204,-0.02424213392943253,1,2.0,2.0,0.0,,0.4166666666666667,0.3333333333333333,0.08333333333333337,0.0,0.0165895061728395,0.015432098765432,0.0011574074074074993,0.0
acegfp,gfpmut3,aceGFP,,green,green,0.55,0.39,0.16000000000000003,0.8808510638297873,14.385525143779343,6.738755906993163,7.646769236786181,0,0.7256404440108204,0.7940009563338566,-0.0683605123230362,1,2.0,2.0,0.0,,0.3333333333333333,0.3472222222222222,-0.013888888888888895,1.0,0.015432098765432,0.01581790123456785,-0.0003858024691358493,1.0
mcerulean3,acegfp,mCerulean3,aceGFP,cyan,green,0.87,0.55,0.31999999999999995,0.8771186440677966,3.160847638098579,14.385525143779343,-11.224677505680765,1,0.6393318841703642,0.7256404440108204,-0.08630855984045616,1,2.0,2.0,0.0,,0.0694444444444444,0.3333333333333333,-0.2638888888888889,1.0,0.0042438271604938,0.015432098765432,-0.0111882716049382,1.0
mturquoise,acegfp,mTurquoise,aceGFP,cyan,green,0.84,0.55,0.2899999999999999,0.851063829787234,7.071648546320366,14.385525143779343,-7.313876597458977,1,0.5993911980927238,0.7256404440108204,-0.1262492459180966,1,2.0,2.0,0.0,,0.0694444444444444,0.3333333333333333,-0.2638888888888889,1.0,0.0046296296296296,0.015432098765432,-0.010802469135802401,1.0
mturquoise2,acegfp,mTurquoise2,aceGFP,cyan,green,0.93,0.55,0.38,0.8860759493670886,7.004749838508629,14.385525143779343,-7.380775305270714,1,0.5267100163237356,0.7256404440108204,-0.1989304276870848,1,2.0,2.0,0.0,,0.0555555555555555,0.3333333333333333,-0.2777777777777778,1.0,0.0032793209876543,0.015432098765432,-0.0121527777777777,1.0
acegfp,mturquoise2_t203y,aceGFP,,green,cyan,0.55,0.23,0.32000000000000006,0.8553191489361702,14.385525143779343,4.866948156070746,9.518576987708597,0,0.7256404440108204,0.7031702439128522,0.022470200097968185,0,2.0,2.0,0.0,,0.3333333333333333,0.3055555555555556,0.027777777777777735,0.0,0.015432098765432,0.0169753086419753,-0.0015432098765433,1.0
acegfp,mugfp,aceGFP,muGFP,green,green,0.55,0.45,0.10000000000000003,0.851063829787234,14.385525143779343,22.566057794407698,-8.180532650628354,1,0.7256404440108204,0.7168092735655951,0.0088311704452253,0,2.0,2.0,0.0,,0.3333333333333333,0.3055555555555556,0.027777777777777735,0.0,0.015432098765432,0.0069444444444444,0.008487654320987602,0.0
nowgfp,acegfp,,aceGFP,orange,green,0.76,0.55,0.20999999999999996,0.8170212765957446,7.728564013110208,14.385525143779343,-6.656961130669136,1,0.8767669888870082,0.7256404440108204,0.15112654487618782,0,2.0,2.0,0.0,,0.0833333333333333,0.3333333333333333,-0.25,1.0,0.0086805555555555,0.015432098765432,-0.0067515432098765,1.0
acegfp,rsegfp,aceGFP,,green,green,0.55,0.36,0.19000000000000006,0.8893617021276595,14.385525143779343,41.445106155417264,-27.05958101163792,1,0.7256404440108204,0.7605257949673585,-0.03488535095653811,1,2.0,2.5,-0.5,0.0,0.3333333333333333,0.33333333333333337,-5.551115123125783e-17,1.0,0.015432098765432,0.01774691358024685,-0.0023148148148148494,1.0
acegfp,rsegfp2,aceGFP,rsEGFP2,green,green,0.55,0.3,0.25000000000000006,0.8617886178861789,14.385525143779343,19.4924235670019,-5.106898423222557,1,0.7256404440108204,0.5935189643645874,0.132121479646233,0,2.0,2.0,0.0,,0.3333333333333333,0.01388888888888885,0.3194444444444445,0.0,0.015432098765432,0.0032793209876543,0.0121527777777777,0.0
acegfp,rsfolder,aceGFP,rsFolder,green,green,0.55,0.25,0.30000000000000004,0.851063829787234,14.385525143779343,13.608141629658327,0.7773835141210164,0,0.7256404440108204,0.6870917030197283,0.03854874099109207,0,2.0,2.5,-0.5,0.0,0.3333333333333333,0.4027777777777778,-0.06944444444444448,1.0,0.015432098765432,0.0256558641975308,-0.0102237654320988,1.0
acegfp,rsfolder2,aceGFP,,green,unknown,0.55,0.23,0.32000000000000006,0.851063829787234,14.385525143779343,6.501292062643084,7.8842330811362595,0,0.7256404440108204,0.6152605872730383,0.11037985673778206,0,2.0,2.0,0.0,,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.015432098765432,0.003858024691358,0.011574074074074,0.0
sg11,acegfp,sg11,aceGFP,green,green,0.84,0.55,0.2899999999999999,0.8680851063829788,0.8391876723508233,14.385525143779343,-13.54633747142852,1,0.3423159871143031,0.7256404440108204,-0.3833244568965173,1,1.0,2.0,-1.0,0.0,0.4166666666666667,0.3333333333333333,0.08333333333333337,0.0,0.0142746913580246,0.015432098765432,-0.0011574074074074004,1.0
sg12,acegfp,sg12,aceGFP,green,green,0.85,0.55,0.29999999999999993,0.8595744680851064,0.680750842716183,14.385525143779343,-13.70477430106316,1,0.3635704715165737,0.7256404440108204,-0.3620699724942467,1,3.0,2.0,1.0,1.0,0.2777777777777778,0.3333333333333333,-0.055555555555555525,1.0,0.0084876543209876,0.015432098765432,-0.006944444444444401,1.0
sg25,acegfp,sg25,aceGFP,green,green,0.76,0.55,0.20999999999999996,0.8553191489361702,2.122942579049703,14.385525143779343,-12.262582564729641,1,0.7579695700518932,0.7256404440108204,0.03232912604107285,0,2.0,2.0,0.0,,0.2777777777777778,0.3333333333333333,-0.055555555555555525,1.0,0.0173611111111111,0.015432098765432,0.0019290123456791007,0.0
acegfp,sg42,aceGFP,sg42,green,blue,0.55,0.24,0.31000000000000005,0.8638297872340426,14.385525143779343,3.6134206786593697,10.772104465119973,0,0.7256404440108204,0.4073786470055031,0.3182617970053173,0,2.0,2.0,0.0,,0.3333333333333333,0.4444444444444444,-0.1111111111111111,1.0,0.015432098765432,0.0243055555555555,-0.0088734567901235,1.0
acegfp,sg50,aceGFP,sg50,green,blue,0.55,0.25,0.30000000000000004,0.8595744680851064,14.385525143779343,3.830023201236357,10.555501942542985,0,0.7256404440108204,0.3852094038984007,0.3404310401124197,0,2.0,2.0,0.0,,0.3333333333333333,0.5138888888888888,-0.18055555555555552,1.0,0.015432098765432,0.0295138888888888,-0.0140817901234568,1.0
shardonnay,acegfp,SHardonnay,aceGFP,yellow,green,0.75,0.55,0.19999999999999996,0.8765957446808511,9.484217162741292,14.385525143779343,-4.901307981038052,1,0.7154842955330971,0.7256404440108204,-0.010156148477723281,1,2.0,2.0,0.0,,0.3055555555555556,0.3333333333333333,-0.027777777777777735,1.0,0.011574074074074,0.015432098765432,-0.003858024691358,1.0
turquoise-gl,acegfp,Turquoise-GL,aceGFP,cyan,green,0.82,0.55,0.2699999999999999,0.8553191489361702,9.058769740879038,14.385525143779343,-5.3267554029003055,1,0.5904691571252658,0.7256404440108204,-0.13517128688555458,1,2.5,2.0,0.5,1.0,0.0694444444444444,0.3333333333333333,-0.2638888888888889,1.0,0.00414737654320985,0.015432098765432,-0.011284722222222151,1.0
acegfp,usgfp,aceGFP,usGFP,green,green,0.55,0.45,0.10000000000000003,0.8686440677966102,14.385525143779343,9.993402015243028,4.392123128536316,0,0.7256404440108204,0.7710822140299445,-0.045441770019124084,1,2.0,2.0,0.0,,0.3333333333333333,0.4444444444444444,-0.1111111111111111,1.0,0.015432098765432,0.0204475308641975,-0.0050154320987654995,1.0
wascfp,acegfp,WasCFP,aceGFP,cyan,green,0.85,0.55,0.29999999999999993,0.8553191489361702,8.95642589697827,14.385525143779343,-5.429099246801073,1,0.9870295237928056,0.7256404440108204,0.2613890797819852,0,1.0,2.0,-1.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,1.0,0.0,0.015432098765432,-0.015432098765432,1.0
alphagfp,bruslee,,,green,unknown,0.79,0.3,0.49000000000000005,0.9519650655021834,7.851618237132723,16.98092898591453,-9.129310748781808,1,0.6309206470246077,0.7493083189087257,-0.11838767188411803,1,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,,0.0123456790123456,0.0266203703703703,-0.014274691358024701,1.0
alphagfp,cerulean,,Cerulean,green,green,0.79,0.62,0.17000000000000004,0.956140350877193,7.851618237132723,8.100436999915278,-0.24881876278255444,1,0.6309206470246077,0.627796711509066,0.003123935515541687,0,2.0,2.0,0.0,,0.3333333333333333,0.0694444444444444,0.2638888888888889,0.0,0.0123456790123456,0.0050154320987654,0.0073302469135802005,0.0
alphagfp,cgfp,,,green,green,0.79,0.14,0.65,0.9692982456140351,7.851618237132723,9.342588715115529,-1.4909704779828052,1,0.6309206470246077,0.6988063232222229,-0.06788567619761521,1,2.0,2.0,0.0,,0.3333333333333333,0.4444444444444444,-0.1111111111111111,1.0,0.0123456790123456,0.011574074074074,0.0007716049382715997,0.0
alphagfp,cypet,,,green,cyan,0.79,0.51,0.28,0.9152542372881356,7.851618237132723,3.6406920303805146,4.210926206752209,0,0.6309206470246077,0.627677365010112,0.003243282014495752,0,2.0,2.0,0.0,,0.3333333333333333,0.0833333333333333,0.25,0.0,0.0123456790123456,0.0052083333333333,0.0071373456790123,0.0
alphagfp,degfp1,,deGFP1,green,green,0.79,0.16,0.63,0.956140350877193,7.851618237132723,2.1368284572272898,5.714789779905434,0,0.6309206470246077,0.8080535526050578,-0.17713290558045014,1,2.0,2.0,0.0,,0.3333333333333333,0.45833333333333337,-0.12500000000000006,1.0,0.0123456790123456,0.028742283950617252,-0.01639660493827165,1.0
alphagfp,dreiklang,,Dreiklang,green,unknown,0.79,0.41,0.38000000000000006,0.8987341772151899,7.851618237132723,16.7490962283188,-8.897477991186076,1,0.6309206470246077,0.659482275296899,-0.02856162827229125,1,2.0,1.5,0.5,1.0,0.3333333333333333,0.1388888888888889,0.19444444444444442,0.0,0.0123456790123456,0.00906635802469135,0.0032793209876542505,0.0
alphagfp,ecfp,,ECFP,green,cyan,0.79,0.4,0.39,0.9649122807017544,7.851618237132723,9.530923659697276,-1.6793054225645525,1,0.6309206470246077,0.7488417886909549,-0.11792114166634715,1,2.0,2.0,0.0,,0.3333333333333333,0.0833333333333333,0.25,0.0,0.0123456790123456,0.0065586419753086,0.005787037037037,0.0
alphagfp,egfp,,EGFP,green,green,0.79,0.6,0.19000000000000006,0.9649122807017544,7.851618237132723,11.596014753988934,-3.7443965168562103,1,0.6309206470246077,0.6758524026014057,-0.04493175557679796,1,2.0,2.0,0.0,,0.3333333333333333,0.3333333333333333,0.0,,0.0123456790123456,0.0131172839506172,-0.0007716049382715997,1.0
alphagfp,eyfp,,,green,yellow,0.79,0.67,0.12,0.9563318777292577,7.851618237132723,11.854226195681232,-4.002607958548508,1,0.6309206470246077,0.7351667299359395,-0.10424608291133175,1,2.0,2.0,0.0,,0.3333333333333333,0.06944444444444445,0.26388888888888884,0.0,0.0123456790123456,0.0046296296296296,0.007716049382716,0.0
alphagfp,gfp-s65t,,GFP (S65T),green,green,0.79,0.64,0.15000000000000002,0.9692982456140351,7.851618237132723,5.287329200302435,2.5642890368302886,0,0.6309206470246077,0.6731338343182883,-0.04221318729368062,1,2.0,2.0,0.0,,0.3333333333333333,0.3611111111111111,-0.02777777777777779,1.0,0.0123456790123456,0.015432098765432,-0.0030864197530864005,1.0
alphagfp,gfpmut3,,,green,green,0.79,0.39,0.4,0.9606986899563319,7.851618237132723,6.738755906993163,1.1128623301395608,0,0.6309206470246077,0.7940009563338566,-0.16308030930924888,1,2.0,2.0,0.0,,0.3333333333333333,0.3472222222222222,-0.013888888888888895,1.0,0.0123456790123456,0.01581790123456785,-0.00347222222222225,1.0
alphagfp,hyperfolder-yfp,,Hyperfolder YFP,green,yellow,0.79,0.6,0.19000000000000006,0.9078947368421053,7.851618237132723,5.4045296899001665,2.447088547232557,0,0.6309206470246077,0.7434078753146292,-0.11248722829002145,1,2.0,2.0,0.0,,0.3333333333333333,0.3055555555555556,0.027777777777777735,0.0,0.0123456790123456,0.0142746913580246,-0.001929012345679,1.0
alphagfp,monomeric-hyperfolder-yfp,,Monomeric hyperfolder YFP,green,yellow,0.79,0.62,0.17000000000000004,0.8991228070175439,7.851618237132723,8.302266327400943,-0.4506480902682197,1,0.6309206470246077,0.6614060355781651,-0.030485388553557424,1,2.0,3.0,-1.0,0.0,0.3333333333333333,0.2777777777777778,0.055555555555555525,0.0,0.0123456790123456,0.0173611111111111,-0.005015432098765501,1.0
mturquoise2,alphagfp,mTurquoise2,,cyan,green,0.93,0.79,0.14,0.919831223628692,7.004749838508629,7.851618237132723,-0.8468683986240944,1,0.5267100163237356,0.6309206470246077,-0.10421063070087211,1,2.0,2.0,0.0,,0.0555555555555555,0.3333333333333333,-0.2777777777777778,1.0,0.0032793209876543,0.0123456790123456,-0.009066358024691301,1.0
alphagfp,mturquoise2_t203y,,,green,cyan,0.79,0.23,0.56,0.9473684210526315,7.851618237132723,4.866948156070746,2.984670081061977,0,0.6309206470246077,0.7031702439128522,-0.0722495968882445,1,2.0,2.0,0.0,,0.3333333333333333,0.3055555555555556,0.027777777777777735,0.0,0.0123456790123456,0.0169753086419753,-0.0046296296296297005,1.0
alphagfp,mugfp,,muGFP,green,green,0.79,0.45,0.34,0.9310344827586207,7.851618237132723,22.566057794407698,-14.714439557274975,1,0.6309206470246077,0.7168092735655951,-0.08588862654098739,1,2.0,2.0,0.0,,0.3333333333333333,0.3055555555555556,0.027777777777777735,0.0,0.0123456790123456,0.0069444444444444,0.0054012345679012004,0.0
alphagfp,mvenus,,,green,yellow,0.79,0.64,0.15000000000000002,0.9432314410480349,7.851618237132723,8.526985753626517,-0.675367516493794,1,0.6309206470246077,0.6912986019403701,-0.060377954915762366,1,2.0,3.0,-1.0,0.0,0.3333333333333333,0.3055555555555556,0.027777777777777735,0.0,0.0123456790123456,0.0162037037037037,-0.003858024691358099,1.0
alphagfp,rsegfp,,,green,green,0.79,0.36,0.43000000000000005,0.9230769230769231,7.851618237132723,41.445106155417264,-33.59348791828454,1,0.6309206470246077,0.7605257949673585,-0.1296051479427508,1,2.0,2.5,-0.5,0.0,0.3333333333333333,0.33333333333333337,-5.551115123125783e-17,1.0,0.0123456790123456,0.01774691358024685,-0.00540123456790125,1.0
alphagfp,rsegfp2,,rsEGFP2,green,green,0.79,0.3,0.49000000000000005,0.8861788617886179,7.851618237132723,19.4924235670019,-11.640805329869178,1,0.6309206470246077,0.5935189643645874,0.03740168266002031,0,2.0,2.0,0.0,,0.3333333333333333,0.01388888888888885,0.3194444444444445,0.0,0.0123456790123456,0.0032793209876543,0.009066358024691301,0.0
alphagfp,rsfolder,,rsFolder,green,green,0.79,0.25,0.54,0.9393939393939394,7.851618237132723,13.608141629658327,-5.756523392525604,1,0.6309206470246077,0.6870917030197283,-0.05617105599512062,1,2.0,2.5,-0.5,0.0,0.3333333333333333,0.4027777777777778,-0.06944444444444448,1.0,0.0123456790123456,0.0256558641975308,-0.013310185185185201,1.0
alphagfp,rsfolder2,,,green,unknown,0.79,0.23,0.56,0.9478260869565217,7.851618237132723,6.501292062643084,1.3503261744896395,0,0.6309206470246077,0.6152605872730383,0.015660059751569366,0,2.0,2.0,0.0,,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.0123456790123456,0.003858024691358,0.0084876543209876,0.0
alphagfp,scfp3a,,SCFP3A,green,cyan,0.79,0.56,0.22999999999999998,0.956140350877193,7.851618237132723,12.320871193073256,-4.469252955940532,1,0.6309206470246077,0.6799727340559207,-0.04905208703131303,1,2.0,3.0,-1.0,0.0,0.3333333333333333,0.0694444444444444,0.2638888888888889,0.0,0.0123456790123456,0.0048225308641975,0.0075231481481481,0.0
alphagfp,sg42,,sg42,green,blue,0.79,0.24,0.55,0.9517543859649122,7.851618237132723,3.6134206786593697,4.238197558473354,0,0.6309206470246077,0.4073786470055031,0.22354200001910463,0,2.0,2.0,0.0,,0.3333333333333333,0.4444444444444444,-0.1111111111111111,1.0,0.0123456790123456,0.0243055555555555,-0.0119598765432099,1.0
alphagfp,sg50,,sg50,green,blue,0.79,0.25,0.54,0.956140350877193,7.851618237132723,3.830023201236357,4.021595035896366,0,0.6309206470246077,0.3852094038984007,0.245711243126207,0,2.0,2.0,0.0,,0.3333333333333333,0.5138888888888888,-0.18055555555555552,1.0,0.0123456790123456,0.0295138888888888,-0.017168209876543203,1.0
alphagfp,superfolder-gfp,,Superfolder GFP,green,green,0.79,0.65,0.14,0.9563318777292577,7.851618237132723,6.497055033161314,1.3545632039714093,0,0.6309206470246077,0.7777057067523352,-0.14678505972772748,1,2.0,2.0,0.0,,0.3333333333333333,0.4027777777777778,-0.06944444444444448,1.0,0.0123456790123456,0.01678240740740735,-0.00443672839506175,1.0
alphagfp,usgfp,,usGFP,green,green,0.79,0.45,0.34,0.9194915254237288,7.851618237132723,9.993402015243028,-2.1417837781103044,1,0.6309206470246077,0.7710822140299445,-0.14016156700533677,1,2.0,2.0,0.0,,0.3333333333333333,0.4444444444444444,-0.1111111111111111,1.0,0.0123456790123456,0.0204475308641975,-0.0081018518518519,1.0
alphagfp,venus,,Venus,green,yellow,0.79,0.57,0.22000000000000008,0.9475982532751092,7.851618237132723,0.8793968677909777,6.972221369341746,0,0.6309206470246077,0.7451504322657746,-0.11422978524116689,1,2.0,3.0,-1.0,0.0,0.3333333333333333,0.25,0.08333333333333331,0.0,0.0123456790123456,0.0069444444444444,0.0054012345679012004,0.0
amfp506,amfp486,amFP506,amFP486,unknown,cyan,0.67,0.24,0.43000000000000005,0.9724770642201835,0.6222491379056123,2.3975955795360497,-1.7753464416304374,1,0.7846458475914981,0.6999475177052454,0.0846983298862527,0,2.0,1.0,1.0,1.0,0.2777777777777778,0.1111111111111111,0.16666666666666669,0.0,0.0192901234567901,0.0150462962962962,0.0042438271604939015,0.0
amfp486,amfp515,amFP486,amFP515,cyan,unknown,0.24,0.006,0.23399999999999999,0.9954128440366973,2.3975955795360497,49.58267874845144,-47.18508316891539,1,0.6999475177052454,0.9681562575960164,-0.268208739890771,1,1.0,1.0,0.0,,0.1111111111111111,0.3888888888888889,-0.2777777777777778,1.0,0.0150462962962962,0.0246913580246913,-0.009645061728395101,1.0
amfp506,amfp515,amFP506,amFP515,unknown,unknown,0.67,0.006,0.664,0.9678899082568807,0.6222491379056123,49.58267874845144,-48.96042961054583,1,0.7846458475914981,0.9681562575960164,-0.1835104100045183,1,2.0,1.0,1.0,1.0,0.2777777777777778,0.3888888888888889,-0.1111111111111111,1.0,0.0192901234567901,0.0246913580246913,-0.0054012345679012,1.0
avgfp,bruslee,,,green,unknown,0.79,0.3,0.49000000000000005,0.9737991266375546,11.249983810469484,16.98092898591453,-5.730945175445047,1,0.7525381403790545,0.7493083189087257,0.0032298214703287975,0,2.0,1.0,1.0,1.0,0.3472222222222222,0.3333333333333333,0.013888888888888895,0.0,0.01581790123456785,0.0266203703703703,-0.010802469135802451,1.0
avgfp,cerulean,,Cerulean,green,green,0.79,0.62,0.17000000000000004,0.9605263157894737,11.249983810469484,8.100436999915278,3.149546810554206,0,0.7525381403790545,0.627796711509066,0.12474142886998851,0,2.0,2.0,0.0,,0.3472222222222222,0.0694444444444444,0.2777777777777778,0.0,0.01581790123456785,0.0050154320987654,0.010802469135802451,0.0
avgfp,cgfp,,,green,green,0.79,0.14,0.65,0.9868421052631579,11.249983810469484,9.342588715115529,1.9073950953539551,0,0.7525381403790545,0.6988063232222229,0.05373181715683162,0,2.0,2.0,0.0,,0.3472222222222222,0.4444444444444444,-0.09722222222222221,1.0,0.01581790123456785,0.011574074074074,0.0042438271604938495,0.0
avgfp,cypet,,,green,cyan,0.79,0.51,0.28,0.9194915254237288,11.249983810469484,3.6406920303805146,7.609291780088969,0,0.7525381403790545,0.627677365010112,0.12486077536894258,0,2.0,2.0,0.0,,0.3472222222222222,0.0833333333333333,0.2638888888888889,0.0,0.01581790123456785,0.0052083333333333,0.010609567901234549,0.0
avgfp,degfp1,,deGFP1,green,green,0.79,0.16,0.63,0.9736842105263158,11.249983810469484,2.1368284572272898,9.113155353242194,0,0.7525381403790545,0.8080535526050578,-0.05551541222600331,1,2.0,2.0,0.0,,0.3472222222222222,0.45833333333333337,-0.11111111111111116,1.0,0.01581790123456785,0.028742283950617252,-0.012924382716049402,1.0
avgfp,dreiklang,,Dreiklang,green,unknown,0.79,0.41,0.38000000000000006,0.919831223628692,11.249983810469484,16.7490962283188,-5.4991124178493145,1,0.7525381403790545,0.659482275296899,0.09305586508215558,0,2.0,1.5,0.5,1.0,0.3472222222222222,0.1388888888888889,0.20833333333333331,0.0,0.01581790123456785,0.00906635802469135,0.0067515432098765,0.0
avgfp,ecfp,,ECFP,green,cyan,0.79,0.4,0.39,0.9649122807017544,11.249983810469484,9.530923659697276,1.7190601507722079,0,0.7525381403790545,0.7488417886909549,0.003696351688099675,0,2.0,2.0,0.0,,0.3472222222222222,0.0833333333333333,0.2638888888888889,0.0,0.01581790123456785,0.0065586419753086,0.00925925925925925,0.0
avgfp,egfp,,EGFP,green,green,0.79,0.6,0.19000000000000006,0.9824561403508771,11.249983810469484,11.596014753988934,-0.34603094351944996,1,0.7525381403790545,0.6758524026014057,0.07668573777764887,0,2.0,2.0,0.0,,0.3472222222222222,0.3333333333333333,0.013888888888888895,0.0,0.01581790123456785,0.0131172839506172,0.00270061728395065,0.0
avgfp,eyfp,,,green,yellow,0.79,0.67,0.12,0.9781659388646288,11.249983810469484,11.854226195681232,-0.604242385211748,1,0.7525381403790545,0.7351667299359395,0.017371410443115076,0,2.0,2.0,0.0,,0.3472222222222222,0.06944444444444445,0.2777777777777778,0.0,0.01581790123456785,0.0046296296296296,0.01118827160493825,0.0
avgfp,gfp-s65t,,GFP (S65T),green,green,0.79,0.64,0.15000000000000002,0.9868421052631579,11.249983810469484,5.287329200302435,5.962654610167049,0,0.7525381403790545,0.6731338343182883,0.0794043060607662,0,2.0,2.0,0.0,,0.3472222222222222,0.3611111111111111,-0.013888888888888895,1.0,0.01581790123456785,0.015432098765432,0.0003858024691358493,0.0
avgfp,gfpmut3,,,green,green,0.79,0.39,0.4,0.982532751091703,11.249983810469484,6.738755906993163,4.511227903476321,0,0.7525381403790545,0.7940009563338566,-0.04146281595480206,1,2.0,2.0,0.0,,0.3472222222222222,0.3472222222222222,0.0,,0.01581790123456785,0.01581790123456785,0.0,
